Country,Year,Value,GHG
Iceland,2016,5131369.32,CO2
Norway,2016,52388806.84,CO2
Switzerland,2016,26938847.5,CO2
Serbia,2016,44757929.0,CO2
Türkiye,2016,323151517.0,CO2
European Union - 27 countries (from 2020),2017,2624346428.92,CO2
Belgium,2017,71658116.71,CO2
Bulgaria,2017,46720379.44,CO2
Czechia,2017,84522238.28,CO2
Denmark,2017,72654851.32,CO2
Germany,2017,649273598.36,CO2
Estonia,2017,18053840.73,CO2
Ireland,2017,41808714.75,CO2
Greece,2017,74376892.38,CO2
Spain,2017,219079617.01,CO2
France,2017,263741587.5,CO2
Croatia,2017,13659990.32,CO2
Italy,2017,261483093.45,CO2
Cyprus,2017,5825333.14,CO2
Latvia,2017,7215957.33,CO2
Lithuania,2017,12958343.1,CO2
Luxembourg,2017,7450554.0,CO2
Hungary,2017,39524581.02,CO2
Malta,2017,1488089.1,CO2
Netherlands,2017,150141833.3,CO2
Austria,2017,47695358.1,CO2
Poland,2017,300712032.07,CO2
Portugal,2017,49669685.25,CO2
Romania,2017,65048380.69,CO2
Slovenia,2017,10598340.59,CO2
Slovakia,2017,29340846.19,CO2
Finland,2017,42234732.81,CO2
Sweden,2017,37409441.97,CO2
Iceland,2017,5502454.26,CO2
Norway,2017,55009483.01,CO2
Switzerland,2017,26450944.43,CO2
Serbia,2017,45630398.38,CO2
Türkiye,2017,337000661.0,CO2
European Union - 27 countries (from 2020),2018,2576268382.08,CO2
Belgium,2018,73544083.46,CO2
Bulgaria,2018,42562492.98,CO2
Czechia,2018,85917613.26,CO2
Denmark,2018,73425967.48,CO2
Germany,2018,627782258.63,CO2
Estonia,2018,17128830.16,CO2
Ireland,2018,42501389.71,CO2
Greece,2018,73997783.63,CO2
Spain,2018,212811390.79,CO2
France,2018,256242750.46,CO2
Croatia,2018,12705855.47,CO2
Italy,2018,256155930.02,CO2
Cyprus,2018,5874594.89,CO2
Latvia,2018,7823740.0,CO2
Lithuania,2018,14105526.84,CO2
Luxembourg,2018,7588714.0,CO2
Hungary,2018,39888109.4,CO2
Malta,2018,1615909.14,CO2
Netherlands,2018,146206401.72,CO2
Austria,2018,45168202.93,CO2
Poland,2018,300861879.16,CO2
Portugal,2018,46103947.59,CO2
Romania,2018,64811227.57,CO2
Slovenia,2018,10875014.13,CO2
Slovakia,2018,29707094.56,CO2
Finland,2018,43604005.64,CO2
Sweden,2018,37257668.47,CO2
Iceland,2018,5744632.24,CO2
Norway,2018,58284265.98,CO2
Switzerland,2018,26154334.23,CO2
Serbia,2018,45175655.47,CO2
Türkiye,2018,333548997.0,CO2
European Union - 27 countries (from 2020),2019,2439651927.85,CO2
Belgium,2019,74209541.64,CO2
Bulgaria,2019,41209020.26,CO2
Czechia,2019,80891193.23,CO2
Denmark,2019,70299345.18,CO2
Germany,2019,565374403.53,CO2
Estonia,2019,11924934.0,CO2
Ireland,2019,41482761.28,CO2
Greece,2019,68586235.64,CO2
Spain,2019,196989064.14,CO2
France,2019,250715911.34,CO2
Croatia,2019,12882215.72,CO2
Italy,2019,249747825.1,CO2
Cyprus,2019,5659033.18,CO2
Latvia,2019,7888435.71,CO2
Lithuania,2019,14472688.95,CO2
Luxembourg,2019,8217502.0,CO2
Hungary,2019,38517209.28,CO2
Malta,2019,2244158.71,CO2
Netherlands,2019,143049217.09,CO2
Austria,2019,48747123.71,CO2
Poland,2019,287282933.78,CO2
Portugal,2019,42352944.61,CO2
Romania,2019,61502732.5,CO2
Slovenia,2019,10721298.36,CO2
Slovakia,2019,27593906.48,CO2
Finland,2019,40868254.77,CO2
Sweden,2019,36222037.63,CO2
Iceland,2019,4889713.46,CO2
Norway,2019,58492593.47,CO2
Switzerland,2019,26230909.78,CO2
Serbia,2019,44025922.67,CO2
Türkiye,2019,312146432.0,CO2
European Union - 27 countries (from 2020),2020,2141996586.06,CO2
Belgium,2020,67941159.47,CO2
Bulgaria,2020,35296686.17,CO2
Czechia,2020,71628725.85,CO2
Denmark,2020,60295669.25,CO2
